epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5561584234237671,1.9619898796081543,0.001,0.6922669410705566,1.326898217201233
1,0.6895049214363098,1.3608241081237793,0.001,0.7266949415206909,1.1900845766067505
2,0.733518123626709,1.163428783416748,0.001,0.741790235042572,1.15264093875885
3,0.7681187987327576,1.0218944549560547,0.001,0.7409957647323608,1.1625783443450928
4,0.8760396242141724,0.6013363599777222,0.00020000001,0.8389830589294434,0.7530382871627808
5,0.9126864671707153,0.44186654686927795,0.00020000001,0.8350105881690979,0.7613667249679565
6,0.9424818754196167,0.32841697335243225,4.0000003e-05,0.8429555296897888,0.7293542623519897
7,0.951405942440033,0.2950514256954193,4.0000003e-05,0.8453390002250671,0.729814887046814
8,0.9568976759910583,0.2719500660896301,4.0000003e-05,0.8456038236618042,0.7308457493782043
9,0.9615841507911682,0.2529909908771515,4.0000003e-05,0.8429555296897888,0.7325936555862427
10,0.9662178158760071,0.2352174073457718,8.000001e-06,0.8429555296897888,0.730449378490448
11,0.9680263996124268,0.22846683859825134,1.6000001e-06,0.8429555296897888,0.7302173972129822
